Filial;Item NF;Produto;Descr Prod;Unidade;Segunda UM;Quantidade;Vlr.Unitario;Vlr.Total;Vlr.IPI;Vlr.ICMS;Tipo Entrada;Cod. Fiscal;Centro Custo;Ordem Servic;Ord Producao;Desc.Item;Aliq. IPI;Aliq. ICMS;Peso total;Natureza;C Contabil;Forn/Cliente;Loja;Item Conta;Documento;No do Pedido;Item do Ped.;Armazem;Serie;DT Digitacao;Qtde 2a UM;It.Doc Orig.;Docto. Orig.;Serie Orig.;Numero do CQ;ICMS Solid.;Ret. ICMS;Ident. PD3;Base Icms;Desconto;Lote Fornec.;Vlr.Base IPI;Lote;Sub-Lote;Valid. Lote;Chassi;Vlr.I.I.;TEC/NCM/QUAL;Num. Conhec.;Sit.Tribut.;Imobilizado;ICMS Comple.;Vlr. Frete;Rateio;Vlr. Despesa;Base de IRRF;Aliq. IRRF;Valor IRRF;Base de ISS;Aliq. ISS;Valor do ISS;Base de INSS;Aliq. INSS;Vlr. do INSS;Local Exter.;Classe Valor;Cod.Servico;Status Serv.;Endereco Ini;Estr.Fisica;Dsc.Est.Fis.;Regra WMS;Qt.Vinc.PCC.;Potencia Lot;Seq.Estrut.;TES Selecion;Grade;Item Grade;Vlr. Fethab;Ab. Val INSS;Base Fethab;Desc. ICMS;Item Vinculo;Grp.Nat.Rec.;Valor Cofins;Aliq. Fabov;Vinculo Doc.;Data Fabric.;Base Cofins;Base Facs;Base CSLL;Vlr Est Cred;Tab.Nat.Rec.;Abat. Mat.;Vlr. Fabov;Base Fabov;Cod. Norma;Base Pis;Aliq. Facs;Val Ant.ICMS;Aliq ICMS So;Vinc. Serie;Abatim. ISS;Sld.Depend.;Aliq. Fethab;Crd Pres Sim;Dt.Fim N.R.;Vlr. Facs;Cod.Nat.Rec.;Conferencia;Pr.Fundersul;Cod.Cat83;Cre.Pres. PR;Vlr FUNRURAL;Aliq Import;Tem Garantia;Bas.FUNRURAL;C Repos.4a M;ICMS ST Ante;Valor PIS;Base do SEST;Crd Pres SC;C Reposicao;C Repos.5a M;Valor SEST;Vl.Fundersul;Aliq. Pis;Alq FUNRURAL;Repos.2a M;Operador;Valor CSLL;B.ICMS ST An;Aliq. Cofins;UFERMS;Aliq. SEST;C Repos.3a M;Vl.Inc.Leite;Pr.Inc.Leite;Abatim. INSS;Val. COF M.;Marca;Vl.Senar;Base Senar;Val. PIS M.;Aliq.Senar;Cont. Imp.;Cod. Projeto;Id CFC;Codigo FCI;Vl.Cide;Base Cide;Aliq.Cide;Vl.ISS CPM;Bs.ISS CPM;Aliq. Famad;Alq.ISS CPM;Base Famad;Vlr. Famad;VL.Fumipeq;Base FUMIPEQ;Aliq.Fumipeq;Desc.Z.Franc;Val.Pis.ZFM;Val.Cof.ZFM;Enq. IPI;Base CPRB;Valor CPRB;Alíquota CPR;ICMS Difal;Perc. Origem;Perc. Destin;FECP Comp.;Aliq Comp.;Valor FECP;Fat.Desc.ICM;Val.Desc.ICM;Vlr.FUNDESA;Base FUNDESA;Aliq.FUNDESA;Vlr. IMA-MT;Base IMA-MT;Aliq. IMA-MT;Vlr.FASE-MT;Base FASE-MT;Aliq.FASE-MT;ICMS ST For;Cód Sit SN;Bas.INSS.Pt;Perc.INSS.Pt;Val.INSS.Pt;Cod.Fis.Forn;Numero CNO;Tipo Entrada;C. Trib. Mun;Tipo Repasse;Abat. Alim.;Aliq.FEEF.RJ;Bas.FEEF.RJ;Val.FEEF.RJ;Cod Nota Emp;Item Nt Emp;Ident.Exp.;Hr. Ult. Exp;Rev.Estrutur;Id DCF;Cod Distrib;Romaneio;Cód. Safra;Ctr. Orig.;Item Rom.;NFP Num.;NFP Serie;Vlr.OP.Dif;Aliq FCP Ant;A.ICMS ST An;Base FCP Ant;Vlr. FCP Ant;Sld. Export.;Val.PROT.GO;Bas.PROT.GO;Aliq.PROT.GO;Base FCP ST;Ind.Fcp.Aux.;Base FCP Pr.;Base FCP Cmp;Fat Direto;Dedução;Retenção;Cta Receita;Obs Cont;Obs Fisco;Tit ObsFisco;Tit ObsContr
0101;0001;PN015228;GOODYEAR AGS 900/R22 (LISO);UN;UN;4;2038;8152;0;1467.36;001;1126;120303;;;0;0;18;0;21821;31206005;43242858;0005;;000079527;043156;0001;01;001;17/01/2023;4;;;;;0;0;;8152;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;17/01/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;1.65;0;0;;0;0;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;3F2022C2-A107-437A-A400-8B27ECC9F3DF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;PN015193;MICHELIN MULTI Z 295/R22.5 DI;UN;UN;4;2950;11800;0;2124;001;1126;120303;;;0;0;18;0;21821;31206005;50941962;0002;;000030010;043632;0001;01;002;13/02/2023;4;;;;;0;0;;11800;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;2348.12;0;0;0;0;0;0;0;1.65;0;0;;0;13045.12;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;0A007031-A11C-444D-B741-F9D1298B34D2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;4;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0002;PN015198;MICHELIN MULTI T 295/R22.5 E.L;UN;UN;4;2655;10620;0;1911.6;001;1126;120303;;;0;0;18;0;21821;31206005;50941962;0002;;000030010;043632;0002;01;002;13/02/2023;4;;;;;0;0;;10620;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;1555.88;0;0;0;0;0;0;0;1.65;0;0;;0;8643.84;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;73C01E60-3713-4612-BE68-5B7CFE52077E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;4;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;PN015189;GOODYEAR G658 1100/R22 DI;UN;UN;2;2735;5470;0;0;012;1126;120303;;;0;0;0;0;21821;31206005;45987005;0159;;000088611;043649;0001;01;001;13/02/2023;2;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;260.66;0;0;0;0;0;0;0;1.65;0;0;;0;5731.74;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;91A1DF02-DC40-408F-96D3-29642FFF5A60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0002;PN015227;GOODYEAR G8 900/R22 (LISO);UN;UN;4;1459;5836;0;0;012;1126;120303;;;0;0;0;0;21821;31206005;45987005;0159;;000088611;043649;0002;01;001;13/02/2023;4;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;1.65;0;0;;0;0;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;C358B01D-28AA-4111-A7B8-FF0867D5C6E0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;PN015185;GOODYEAR KMAX D 295/80R22.5 TR;UN;UN;6;2718.61;16311.66;0;2936.1;001;1126;120303;;;0;0;18;0;21821;31206005;45987005;0282;;000444159;043650;0001;01;001;13/02/2023;6;;;;;0;0;;16311.66;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;872.1;0;0;0;0;0;0;0;1.65;0;0;;0;19175.7;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;B0653572-32C7-4FEE-BD9B-FF343877B82E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;6;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0002;PN015187;GOODYEAR KMAX S 295/80R22.5 DI;UN;UN;8;2387.79;19102.32;0;3438.42;001;1126;120303;;;0;0;18;0;21821;31206005;45987005;0282;;000444159;043650;0002;01;001;13/02/2023;8;;;;;0;0;;19102.32;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;1075.04;0;0;0;0;0;0;0;1.65;0;0;;0;23638.32;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;C4469A26-D3EE-409A-AB1E-0C5491906629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;8;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0004;PN015188;GOODYEAR KMAX S 275/80R22.5 DI;UN;UN;4;2211.7;8846.8;0;1592.42;001;1126;120303;;;0;0;18;0;21821;31206005;45987005;0282;;000444159;043650;0004;01;001;13/02/2023;4;;;;;0;0;;8846.8;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;497.88;0;0;0;0;0;0;0;1.65;0;0;;0;10947.6;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;FF9DD8D4-A117-4A27-A113-C3D035711038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;4;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0003;PN015189;GOODYEAR G658 1100/R22 DI;UN;UN;5;2735;13675;0;2461.5;001;1126;120303;;;0;0;18;0;21821;31206005;45987005;0282;;000444159;043650;0003;01;001;13/02/2023;5;;;;;0;0;;13675;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;13/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;686;0;0;0;0;0;0;0;1.65;0;0;;0;15083.6;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;91A1DF02-DC40-408F-96D3-29642FFF5A60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;5;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;PN015189;GOODYEAR G658 1100/R22 DI;UN;UN;3;2735;8205;0;0;012;1126;120303;;;0;0;0;0;21821;31206005;45987005;0303;;000104436;043787;0001;01;001;14/02/2023;3;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;001;;;0;0;0;0;;;0;0;;14/02/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;412.62;0;0;0;0;0;0;0;1.65;0;0;;0;9072.72;7.6;0;0;0;0;0;0;0;;0;0;0;0;0;;;91A1DF02-DC40-408F-96D3-29642FFF5A60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;18;0;0;3;0;0;0;0;0;0;0;0;0;0;;;;;
