Data Desc;FOGO;TAMANHO;MARCA;MOTIVO
02/03/2022;N5067;1100R22;MICHELIN;
02/03/2022;N5119;1100R22;GOODYEAR;
02/03/2022;N5168;295/80R22,5;BRIDGESTONE;
02/03/2022;N6762;295/80R22,5;MICHELIN;
02/03/2022;N7082;295/80R22,5;MICHELIN;
02/03/2022;N6773;295/80R22,5;MICHELIN;
03/01/2022;N6542;295/80R22,5;GOODYEAR;
03/01/2022;N7308;295/80R22,5;GOODYEAR;
03/01/2022;N7245;1100R22;GOODYEAR;
03/01/2022;N7037;900R20;PIRELLI;
03/01/2022;N6683;1100R22;GOODYEAR;
03/01/2022;N6322;1100R22;GOODYEAR;
03/01/2022;N5961;1100R22;GOODYEAR;
03/01/2022;N5480;1100R22;GOODYEAR;
03/01/2022;N6207;295/80R22,5;MICHELIN;
13/12/2021;N6562;1100R22;GOODYEAR;
13/12/2021;N5429;1100R22;GOODYEAR;
13/12/2021;N1674;1100R22;PIRELLI;
13/12/2021;N6706;275/80R22,5;GOODYEAR;
13/12/2021;N5792;275/80R22,5;GOODYEAR;
13/12/2021;N6188;275/80R22,5;PIRELLI;
13/12/2021;N6274;275/80R22,5;MICHELIN;
13/12/2021;N6273;275/80R22,5;MICHELIN;
13/12/2021;N5273;275/80R22,5;GOODYEAR;
13/12/2021;N7657;295/80R22,5;BOTO;
13/12/2021;N6767;295/80R22,5;DUNLOP;
13/12/2021;N7848;295/80R22,5;PIRELLI;Dano no Talão
11/03/2022;N6950;1100R22;PIRELLI;
11/03/2022;N6648;295/80R22,5;CONTINENTAL;Ruptura Circunferencial
11/03/2022;N2942;1100R22;MICHELIN;Fadiga Natural
11/03/2022;N5926;295/80R22,5;MICHELIN;Fadiga Natural
11/03/2022;N6936;295/80R22,5;PIRELLI;Arrancamento do Ombro
11/03/2022;N7472;295/80R22,5;PIRELLI;Aquecimento no Talão
11/03/2022;N6676;295/80R22,5;GOODYEAR;Soltou borracha
11/03/2022;N6527;1100R22;GOODYEAR;Soltou borracha
22/03/2022;N6495;295/80R22,5;MICHELIN;
22/03/2022;N6995;295/80R22,5;PIRELLI;
22/03/2022;N7656;295/80R22,5;BOTO;
10/03/2022;N6353;295/80R22,5;GOODYEAR;
10/03/2022;N7102;295/80R22,5;PIRELLI;
10/03/2022;N6091;295/80R22,5;GOODYEAR;
10/03/2022;N7487;295/80R22,5;BRIDGESTONE;
10/03/2022;N5838;295/80R22,5;GOODYEAR;
