Filial;Codigo Pneu;N Fogo Pneu;Dt Sulco At.;Placa Veicul;Posicao Pneu;TWI
0101;0009036;0009036;21/01/2023;CZB7129;TDE;3
0101;0009037;0009037;21/01/2023;CZB7129;TDI;3
0101;0009038;0009038;19/09/2023;BWQ7984;TDE;3
0101;0009039;0009039;28/01/2023;BWQ7984;TDI;3
0101;0009040;0009040;10/04/2024;OZP9C87;2EEI;3
0101;0009041;0009041;08/04/2024;;;3
0101;0009042;0009042;26/04/2024;RKO0G68;DD;3
0101;0009043;0009043;26/04/2024;RKO0G68;DE;3
0101;0009044;0009044;03/05/2024;GIP0F45;1EEI;3
0101;0009045;0009045;03/05/2024;GIP0F45;1EEE;3
0101;0009046;0009046;11/03/2024;RCW0J28;1EDE;3
0101;0009047;0009047;11/03/2024;RCW0J28;1DI;3
0101;0009048;0009048;14/02/2024;;;3
0101;0009049;0009049;11/03/2024;RCW0J28;1EDI;3
0101;0009050;0009050;22/01/2024;;;3
0101;0009051;0009051;22/01/2024;;;3
0101;0009052;0009052;08/04/2023;BLG8458;TEE;3
0101;0009053;0009053;08/04/2023;BLG8458;TEI;3
0101;0009054;0009054;12/02/2024;DESCARTE;DESCARTE;3
0101;0009055;0009055;05/03/2024;FLB3I47;TDI;3
0101;0009056;0009056;02/01/2024;BXG7B46;TDI;3
0101;0009057;0009057;02/01/2024;JSX0853;2EDE;3
0101;0009058;0009058;15/11/2023;;;3
0101;0009059;0009059;15/11/2023;;;3
0101;0009060;0009060;21/03/2023;BAM4F11;DE;3
0101;0009061;0009061;21/03/2023;BAM4F11;DD;3
0101;0009062;0009062;26/10/2023;BUD1323;3EDE;3
0101;0009063;0009063;26/10/2023;BUD1323;3EDI;3
0101;0009064;0009064;08/04/2024;;;3
0101;0009065;0009065;08/04/2024;;;3
0101;0009066;0009066;22/04/2024;FJR3580;2EEE;3
0101;0009067;0009067;22/04/2024;FJR3580;2EEI;3
0101;0009068;0009068;09/03/2024;KSY1146;2EEE;3
0101;0009069;0009069;20/02/2023;BXB0580;3EEI;3
0101;0009070;0009070;20/02/2023;BXB0580;3EEE;3
0101;0009071;0009071;21/02/2024;BWQ7986;3EEI;3
0101;0009072;0009072;21/02/2024;BWQ7986;3EEE;3
0101;0009073;0009073;08/02/2023;BWQ7876;DE;3
0101;0009074;0009074;08/02/2023;BWQ7876;DD;3
0101;0009075;0009075;08/02/2023;BWQ7876;TDE;3
0101;0009076;0009076;25/07/2023;BWQ7876;TDI;3
0101;0009077;0009077;14/02/2023;BXB0580;3EDE;3
0101;0009078;0009078;06/02/2023;;;3
0101;0009079;0009079;14/06/2023;JQH9859;1EEI;3
0101;0009090;0009090;08/04/2024;;;3
0101;0009091;0009091;08/04/2024;;;3
0101;0009092;0009092;02/10/2023;FPS3B96;4EDE;3
0101;0009093;0009093;02/10/2023;FPS3B96;4EDI;3
0101;0009094;0009094;11/04/2023;GIG8B01;2EEE;3
0101;0009095;0009095;11/04/2023;GIG8B01;2EEI;3
0101;0009096;0009096;07/03/2024;NZV0140;2EEE;3
0101;0009097;0009097;07/03/2024;NZV0140;2EEI;3
0101;0009098;0009098;03/02/2024;;;3
0101;0009099;0009099;03/02/2024;;;3
0101;0009100;0009100;01/08/2023;CUH8I08;DD;3
0101;0009101;0009101;26/12/2023;CUH8I08;DE;3
0101;0009102;0009102;06/04/2024;ECY1F20;2EEE;3
0101;0009103;0009103;06/04/2024;ECY1F20;2EEI;3
0101;0009104;0009104;29/04/2024;PLW6G36;TDI;3
0101;0009105;0009105;06/04/2024;;;3
0101;0009106;0009106;23/02/2023;CBS4401;3EEE;3
0101;0009107;0009107;22/12/2023;CBS4401;3EEI;3
0101;0009108;0009108;27/02/2023;GXM6E75;3EEE;3
0101;0009109;0009109;27/02/2023;GXM6E75;3EEI;3
0101;0009110;0009110;27/02/2023;GXM6E75;3EDI;3
0101;0009111;0009111;27/02/2023;GXM6E75;3EDE;3
0101;0009112;0009112;10/02/2024;BUS0I89;3EEE;3
0101;0009113;0009113;10/02/2024;BUS0I89;3EEI;3
0101;0009114;0009114;04/05/2024;CZB7238;2EDE;3
0101;0009115;0009115;04/05/2024;CZB7238;2EDI;3
0101;0009116;0009116;30/01/2024;CUA0239;2EDE;3
0101;0009117;0009117;30/01/2024;CUA0239;2EDI;3
0101;0009118;0009118;30/04/2024;JSW8807;2EEE;3
0101;0009119;0009119;08/04/2024;;;3
0101;0009120;0009120;20/03/2024;BYY9I66;2EEI;3
0101;0009121;0009121;08/03/2024;;;3
0101;0009122;0009122;17/03/2023;DBC6702;TEI;3
0101;0009123;0009123;17/03/2023;DBC6702;TEE;3
0101;0009124;0009124;17/03/2023;DBC6702;TDE;3
0101;0009125;0009125;17/03/2023;DBC6702;TDI;3
0101;0009126;0009126;18/04/2023;GJK1F77;3EEE;3
0101;0009127;0009127;18/04/2023;GJK1F77;3EEI;3
0101;0009128;0009128;18/04/2023;GJK1F77;3EDE;3
0101;0009129;0009129;18/04/2023;GJK1F77;3EDI;3
0101;0009130;0009130;10/02/2024;BUS0I89;3EDE;3
0101;0009131;0009131;09/03/2024;KSY1146;3EEE;3
0101;0009132;0009132;09/03/2024;;;3
0101;0009133;0009133;03/04/2023;KSY1146;3EEI;3
0101;0009134;0009134;03/04/2023;KSY1146;3EDE;3
0101;0009135;0009135;03/04/2023;KSY1146;3EDI;3
0101;0009136;0009136;29/03/2023;GXM6E76;3EEE;3
0101;0009137;0009137;29/03/2023;GXM6E76;3EEI;3
0101;0009138;0009138;29/03/2023;GXM6E76;3EDE;3
0101;0009139;0009139;29/03/2023;GXM6E76;3EDI;3
0101;0009140;0009140;16/05/2023;CUA0110;TEE;3
0101;0009141;0009141;05/04/2023;GJI0119;TDI;3
0101;0009142;0009142;03/04/2023;GBT9E66;3EDI;3
0101;0009143;0009143;05/04/2023;GJI0119;TDE;3
0101;0009144;0009144;08/04/2023;CUA0B25;DE;3
0101;0009145;0009145;08/04/2023;CUA0B25;DD;3
