Filial;Item NF;Produto;Descr Prod;Unidade;Segunda UM;Quantidade;Vlr.Unitario;Vlr.Total;Vlr.IPI;Vlr.ICMS;Tipo Entrada;Cod. Fiscal;Centro Custo;Ordem Servic;Ord Producao;Desc.Item;Aliq. IPI;Aliq. ICMS;Peso total;Natureza;C Contabil;Forn/Cliente;Loja;Item Conta;Documento;No do Pedido;Item do Ped.;Armazem;Serie;DT Digitacao;Qtde 2a UM;It.Doc Orig.;Docto. Orig.;Serie Orig.;Numero do CQ;ICMS Solid.;Ret. ICMS;Ident. PD3;Base Icms;Desconto;Lote Fornec.;Vlr.Base IPI;Lote;Sub-Lote;Valid. Lote;Chassi;Vlr.I.I.;TEC/NCM/QUAL;Num. Conhec.;Sit.Tribut.;Imobilizado;ICMS Comple.;Vlr. Frete;Rateio;Vlr. Despesa;Base de IRRF;Aliq. IRRF;Valor IRRF;Base de ISS;Aliq. ISS;Valor do ISS;Base de INSS;Aliq. INSS;Vlr. do INSS;Local Exter.;Classe Valor;Cod.Servico;Status Serv.;Endereco Ini;Estr.Fisica;Dsc.Est.Fis.;Regra WMS;Qt.Vinc.PCC.;Potencia Lot;Seq.Estrut.;TES Selecion;Grade;Item Grade;Vlr. Fethab;Ab. Val INSS;Base Fethab;Desc. ICMS;Item Vinculo;Grp.Nat.Rec.;Valor Cofins;Aliq. Fabov;Vinculo Doc.;Data Fabric.;Base Cofins;Base Facs;Base CSLL;Vlr Est Cred;Tab.Nat.Rec.;Abat. Mat.;Vlr. Fabov;Base Fabov;Cod. Norma;Base Pis;Aliq. Facs;Val Ant.ICMS;Aliq ICMS So;Vinc. Serie;Abatim. ISS;Sld.Depend.;Aliq. Fethab;Crd Pres Sim;Dt.Fim N.R.;Vlr. Facs;Cod.Nat.Rec.;Conferencia;Pr.Fundersul;Cod.Cat83;Cre.Pres. PR;Vlr FUNRURAL;Aliq Import;Tem Garantia;Bas.FUNRURAL;C Repos.4a M;ICMS ST Ante;Valor PIS;Base do SEST;Crd Pres SC;C Reposicao;C Repos.5a M;Valor SEST;Vl.Fundersul;Aliq. Pis;Alq FUNRURAL;Repos.2a M;Operador;Valor CSLL;B.ICMS ST An;Aliq. Cofins;UFERMS;Aliq. SEST;C Repos.3a M;Vl.Inc.Leite;Pr.Inc.Leite;Abatim. INSS;Val. COF M.;Marca;Vl.Senar;Base Senar;Val. PIS M.;Aliq.Senar;Cont. Imp.;Cod. Projeto;Id CFC;Codigo FCI;Vl.Cide;Base Cide;Aliq.Cide;Vl.ISS CPM;Bs.ISS CPM;Aliq. Famad;Alq.ISS CPM;Base Famad;Vlr. Famad;VL.Fumipeq;Base FUMIPEQ;Aliq.Fumipeq;Desc.Z.Franc;Val.Pis.ZFM;Val.Cof.ZFM;Enq. IPI;Base CPRB;Valor CPRB;Alíquota CPR;ICMS Difal;Perc. Origem;Perc. Destin;FECP Comp.;Aliq Comp.;Valor FECP;Fat.Desc.ICM;Val.Desc.ICM;Vlr.FUNDESA;Base FUNDESA;Aliq.FUNDESA;Vlr. IMA-MT;Base IMA-MT;Aliq. IMA-MT;Vlr.FASE-MT;Base FASE-MT;Aliq.FASE-MT;ICMS ST For;Cód Sit SN;Bas.INSS.Pt;Perc.INSS.Pt;Val.INSS.Pt;Cod.Fis.Forn;Numero CNO;Tipo Entrada;C. Trib. Mun;Tipo Repasse;Abat. Alim.;Aliq.FEEF.RJ;Bas.FEEF.RJ;Val.FEEF.RJ;Cod Nota Emp;Item Nt Emp;Ident.Exp.;Hr. Ult. Exp;Rev.Estrutur;Id DCF;Cod Distrib;Romaneio;Cód. Safra;Ctr. Orig.;Item Rom.;NFP Num.;NFP Serie;Vlr.OP.Dif;Aliq FCP Ant;A.ICMS ST An;Base FCP Ant;Vlr. FCP Ant;Sld. Export.;Val.PROT.GO;Bas.PROT.GO;Aliq.PROT.GO;Base FCP ST;Ind.Fcp.Aux.;Base FCP Pr.;Base FCP Cmp;Fat Direto;Dedução;Retenção;Cta Receita;Obs Cont;Obs Fisco;Tit ObsFisco;Tit ObsContr
0101;0001;ET002729;SODA CAUSTICA;KG;BB;200;11.76;2352;0;0;003;1556;160205;;;0;0;0;0;21710;31201022;12647719;0001;;000003363;051380;0001;01;001;23/01/2024;4;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;090;;0;0;Nao;0;0;0;0;2352;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;  /  /    ;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;ET002729;SODA CAUSTICA;KG;BB;100;11.76;1176;0;0;012;1126;120303;;;0;0;0;0;21710;31201022;12647719;0001;;000003654;052321;0001;01;001;06/03/2024;2;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;1176;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;06/03/2024;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;ET002729;SODA CAUSTICA;KG;BB;50;11.76;588;0;0;012;1126;120303;;;0;0;0;0;21710;31201022;12647719;0001;;000003733;052650;0001;01;001;19/03/2024;1;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;588;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;  /  /    ;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;ET002729;SODA CAUSTICA;KG;BB;150;11.76;1764;0;0;021;1126;160205;;;0;0;0;0;21710;31201022;56806284;0001;;000051264;047463;0001;01;001;12/07/2023;3;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;1764;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;12/07/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;ET002729;SODA CAUSTICA;KG;BB;150;11.76;1764;0;0;021;1126;160205;;;0;0;0;0;21710;31201022;56806284;0001;;000051592;048504;0001;01;001;04/09/2023;3;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;1764;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;04/09/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;ET002729;SODA CAUSTICA;KG;BB;200;11.76;2352;0;0;012;1126;120303;;;0;0;0;0;21710;31201022;56806284;0001;;000052657;051915;0001;01;001;29/02/2024;4;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;2352;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;29/02/2024;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;ET002729;SODA CAUSTICA;KG;BB;100;11.76;1176;0;211.68;001;1126;120303;;;0;0;18;0;21710;31201022;56806284;0001;;000052977;052998;0001;01;001;03/04/2024;2;;;;;0;0;;1176;0;;0;;;  /  /    ;;0;;;000;;0;0;Nao;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;  /  /    ;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0002;ET008556;POLICLORETO DE ALUMINIO;KG;BB;180;99.166;1785;0;0;021;1126;160205;;;0;0;0;0;21710;31201022;56806284;0001;;000051264;047463;0002;01;001;12/07/2023;3;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;1785;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;12/07/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0001;ET008556;POLICLORETO DE ALUMINIO;KG;BB;120;99.166;1190;0;0;021;1126;160205;;;0;0;0;0;21710;31201022;56806284;0001;;000052298;050562;0001;01;001;13/12/2023;2;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;1190;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;13/12/2023;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;;;;;
0101;0002;ET008556;POLICLORETO DE ALUMINIO;KG;BB;120;99.167;1190;0;0;021;1126;160205;;;0;0;0;0;21710;31201022;56806284;0001;;000052657;051915;0002;01;001;29/02/2024;2;;;;;0;0;;0;0;;0;;;  /  /    ;;0;;;041;;0;0;Nao;0;0;0;0;1190;0;0;0;0;0;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;29/02/2024;0;0;0;0;;0;0;0;;0;0;0;18;;0;0;0;0;  /  /    ;0;;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0.65;0;0;;0;0;3;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;;;;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;;;;;
